Connection,T [degC],p [bar],s [kJ/kgK],h [kJ/kg],m [kg/s],fluid
0,15.0,1.0,3.85,414.38,11.024,air
1,235.2,1.0,4.426,637.98,11.024,air
2,315.0,1.53,4.454,720.97,11.024,air
2i,289.0,1.53,4.407,693.75,11.024,air
3,249.0,1.71,4.3,652.23,11.024,air
3i,310.0,1.71,4.415,715.72,11.024,air
4,29.3,1.71,3.745,428.62,11.024,air
5,-9.4,1.0,3.761,389.85,11.024,air
t0,242.0,1.0,0.133,65.53,11.05,HITEC
t1,242.0,1.0,0.133,65.53,11.05,HITEC
t1i,282.6,1.0,0.251,128.87,11.05,HITEC
t2,300.0,1.0,0.299,156.02,11.05,HITEC
t3,235.0,1.0,0.111,54.6,11.653,HITEC
t4,290.0,1.0,0.272,140.42,11.653,HITEC
